id	lane	상태	시각	세션
build5	build	돌는중	04:40	osmu-build5
fe5	fe	돌는중	04:40	osmu-fe5
fe5	fe	끝남	04:41	osmu-fe5
fe6	fe	돌는중	04:41	osmu-fe6
build5	build	빈손	04:54	osmu-build5
build6	build	돌는중	04:54	osmu-build6
fe6	fe	빈손	05:26	osmu-fe6
fe7	fe	돌는중	05:27	osmu-fe7
build6	build	빈손	05:40	osmu-build6
build7	build	돌는중	05:40	osmu-build7
build7	build	끝남	05:42	osmu-build7
build8	build	돌는중	05:42	osmu-build8
fe7	fe	끝남	06:05	osmu-fe7
fe8	fe	돌는중	06:05	osmu-fe8
fe8	fe	끝남	06:07	osmu-fe8
fe9	fe	돌는중	06:07	osmu-fe9
build8	build	끝남	06:12	osmu-build8
build9	build	돌는중	06:12	osmu-build9
build9	build	끝남	06:39	osmu-build9
build10	build	돌는중	06:41	osmu-build10
fe9	fe	끝남	06:53	osmu-fe9
fe10	fe	돌는중	06:54	osmu-fe10
build10	build	끝남	07:21	osmu-build10
fe10	fe	끝남	07:29	osmu-fe10
review1	review	돌는중	18:01	osmu-review1
qa1	qa	돌는중	18:01	osmu-qa1
fix1	build	돌는중	18:10	osmu-fix1
flow1	fe	돌는중	18:24	osmu-flow1
review1	review	끝남	18:42	osmu-review1
qa1	qa	끝남	18:59	osmu-qa1
fix1	build	끝남	19:07	osmu-fix1
flow1	fe	끝남	19:07	osmu-flow1
fixdoc08281	build	돌는중	19:48	osmu-fixdoc08281
fixdoc08281	build	끝남	20:18	osmu-fixdoc08281
fixdoc08282	build	돌는중	20:18	osmu-fixdoc08282
fixdoc08285	build	돌는중	20:43	osmu-fixdoc08285
fixdoc08283	review	돌는중	20:43	osmu-fixdoc08283
fixdoc08284	qa	돌는중	20:43	osmu-fixdoc08284
